2026-05-25 03:43:19.372 [main] INFO  c.b.services.ChargebeeSyncService - 🚀 Starting Chargebee data synchronization on application startup...
2026-05-25 03:43:19.396 [pool-3-thread-1] INFO  c.b.services.ChargebeeSyncService - 🔄 Synchronizing Items from Chargebee...
2026-05-25 03:43:19.397 [pool-3-thread-2] INFO  c.b.services.ChargebeeSyncService - 🔄 Synchronizing Customers from Chargebee...
2026-05-25 03:43:19.397 [pool-3-thread-3] INFO  c.b.services.ChargebeeSyncService - 🔄 Synchronizing Orders from Chargebee...
2026-05-25 03:43:21.271 [pool-3-thread-3] INFO  c.b.services.ChargebeeSyncService - Processing 2 orders from Chargebee
2026-05-25 03:43:21.566 [pool-3-thread-1] INFO  c.b.services.ChargebeeSyncService - Processing 50 items from Chargebee
2026-05-25 03:43:21.579 [pool-3-thread-2] INFO  c.b.services.ChargebeeSyncService - Processing 50 customers from Chargebee
2026-05-25 03:43:22.101 [pool-3-thread-3] INFO  c.b.services.ChargebeeSyncService - 📊 Orders sync completed - Total: 2, New: 0, Updated: 2
2026-05-25 03:43:22.252 [pool-3-thread-1] ERROR c.b.services.ChargebeeSyncService - ❌ Error processing item premium-DetoxSmoothie-500: could not execute statement [Cannot add or update a child row: a foreign key constraint fails (`bmj_db`.`item_entity`, CONSTRAINT `FK3sawstokmhxprx46n29mt96px` FOREIGN KEY (`product_family_id`) REFERENCES `product_families` (`id`))] [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; SQL [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; constraint [null]
2026-05-25 03:43:22.289 [pool-3-thread-1] ERROR c.b.services.ChargebeeSyncService - ❌ Error processing item premium-DetoxSmoothie-300: could not execute statement [Cannot add or update a child row: a foreign key constraint fails (`bmj_db`.`item_entity`, CONSTRAINT `FK3sawstokmhxprx46n29mt96px` FOREIGN KEY (`product_family_id`) REFERENCES `product_families` (`id`))] [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; SQL [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; constraint [null]
2026-05-25 03:43:22.331 [pool-3-thread-1] ERROR c.b.services.ChargebeeSyncService - ❌ Error processing item premium-DetoxSmoothie-200: could not execute statement [Cannot add or update a child row: a foreign key constraint fails (`bmj_db`.`item_entity`, CONSTRAINT `FK3sawstokmhxprx46n29mt96px` FOREIGN KEY (`product_family_id`) REFERENCES `product_families` (`id`))] [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; SQL [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; constraint [null]
2026-05-25 03:43:22.371 [pool-3-thread-1] ERROR c.b.services.ChargebeeSyncService - ❌ Error processing item premium-CoconutMilk-500: could not execute statement [Cannot add or update a child row: a foreign key constraint fails (`bmj_db`.`item_entity`, CONSTRAINT `FK3sawstokmhxprx46n29mt96px` FOREIGN KEY (`product_family_id`) REFERENCES `product_families` (`id`))] [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; SQL [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; constraint [null]
2026-05-25 03:43:22.405 [pool-3-thread-1] ERROR c.b.services.ChargebeeSyncService - ❌ Error processing item premium-CoconutMilk-300: could not execute statement [Cannot add or update a child row: a foreign key constraint fails (`bmj_db`.`item_entity`, CONSTRAINT `FK3sawstokmhxprx46n29mt96px` FOREIGN KEY (`product_family_id`) REFERENCES `product_families` (`id`))] [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; SQL [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; constraint [null]
2026-05-25 03:43:22.441 [pool-3-thread-1] ERROR c.b.services.ChargebeeSyncService - ❌ Error processing item premium-CoconutMilk-200: could not execute statement [Cannot add or update a child row: a foreign key constraint fails (`bmj_db`.`item_entity`, CONSTRAINT `FK3sawstokmhxprx46n29mt96px` FOREIGN KEY (`product_family_id`) REFERENCES `product_families` (`id`))] [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; SQL [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; constraint [null]
2026-05-25 03:43:22.474 [pool-3-thread-1] ERROR c.b.services.ChargebeeSyncService - ❌ Error processing item premium-WheatgrassJuice-500: could not execute statement [Cannot add or update a child row: a foreign key constraint fails (`bmj_db`.`item_entity`, CONSTRAINT `FK3sawstokmhxprx46n29mt96px` FOREIGN KEY (`product_family_id`) REFERENCES `product_families` (`id`))] [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; SQL [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; constraint [null]
2026-05-25 03:43:22.506 [pool-3-thread-1] ERROR c.b.services.ChargebeeSyncService - ❌ Error processing item premium-WheatgrassJuice-300: could not execute statement [Cannot add or update a child row: a foreign key constraint fails (`bmj_db`.`item_entity`, CONSTRAINT `FK3sawstokmhxprx46n29mt96px` FOREIGN KEY (`product_family_id`) REFERENCES `product_families` (`id`))] [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; SQL [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; constraint [null]
2026-05-25 03:43:22.542 [pool-3-thread-1] ERROR c.b.services.ChargebeeSyncService - ❌ Error processing item premium-WheatgrassJuice-200: could not execute statement [Cannot add or update a child row: a foreign key constraint fails (`bmj_db`.`item_entity`, CONSTRAINT `FK3sawstokmhxprx46n29mt96px` FOREIGN KEY (`product_family_id`) REFERENCES `product_families` (`id`))] [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; SQL [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; constraint [null]
2026-05-25 03:43:22.575 [pool-3-thread-1] ERROR c.b.services.ChargebeeSyncService - ❌ Error processing item premium-Antioxidant-500: could not execute statement [Cannot add or update a child row: a foreign key constraint fails (`bmj_db`.`item_entity`, CONSTRAINT `FK3sawstokmhxprx46n29mt96px` FOREIGN KEY (`product_family_id`) REFERENCES `product_families` (`id`))] [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; SQL [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; constraint [null]
2026-05-25 03:43:22.612 [pool-3-thread-1] ERROR c.b.services.ChargebeeSyncService - ❌ Error processing item premium-Antioxidant-300: could not execute statement [Cannot add or update a child row: a foreign key constraint fails (`bmj_db`.`item_entity`, CONSTRAINT `FK3sawstokmhxprx46n29mt96px` FOREIGN KEY (`product_family_id`) REFERENCES `product_families` (`id`))] [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; SQL [insert into item_entity (archived,deleted,description,enabled_for_checkout,enabled_in_portal,external_name,giftable,json_object,meta_data,name,product_family_id,shippable,status,subscription_id,type,unit,id) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)]; constraint [null]
